Fr	Uin	Uout	b	a	phi	k
15	6.603	6.284	7	0.1	0.014286200238993	0.951688626381948
30	6.626	6.304	7	0.1	0.014286200238993	0.951403561726532
200	6.657	6.332	7	0.2	0.028575317269293	0.951179209854289
300	6.642	6.311	7	0.3	0.042870273246237	0.950165612767239
400	6.624	6.279	7	0.4	0.057174001080663	0.947916666666667
800	6.575	6.175	7	0.7	0.10016742116156	0.939163498098859
1000	6.564	6.123	7	0.9	0.128928317217763	0.932815356489945
2000	6.707	5.96	7	1.4	0.201357920790331	0.888623825853586
5000	6.718	4.917	7	2.2	0.319704148662747	0.731914260196487
8000	6.729	4.2718	7	2.35	0.342363421915331	0.634834299301531
10000	6.736	4.0864	7	2.2	0.319704148662747	0.606650831353919
20000	6.816	3.5975	7	2	0.289751701436047	0.527802230046948
40000	6.782	3.235	7	2.1	0.304692654015397	0.476997935712179
80000	6.677	2.67	7	2.4	0.349956711243062	0.399880185712146
150000	6.412	2.0508	7	2.1	0.304692654015397	0.31983780411728
500000	4.09	1.109	7	0.9	0.128928317217763	0.271149144254279
1000000	1.57	0.249	7	2.7	0.395981891575289	0.15859872611465
