Fr	Uin	Uout	b	a	phi	k	dphi	tanphi	dk
15	7.446	0.453	7	6.5	1.19054512010196	0.060838033843675	0.054433105395182	2.50185116648838	0.000712354306906
25	7.532	1.064	7	6.5	1.19054512010196	0.141263940520446	0.054433105395182	2.50185116648838	0.00075761015701
40	7.512	1.6	7	6.5	1.19054512010196	0.212992545260916	0.054433105395182	2.50185116648838	0.000807369904993
100	7.412	3.364	7	5.9	1.00257067188395	0.453858607663249	0.037542552788914	1.5662490259456	0.000980746497344
200	7.41	5.016	7	4.7	0.736134824577595	0.676923076923077	0.027262027336984	0.90602672674711	0.001131527042458
300	7.32	5.909	7	3.7	0.556916809693318	0.80724043715847	0.023799407164151	0.622662721177668	0.001234453850518
400	7.27	6.297	7	3	0.442911044073639	0.866162310866575	0.022360679774998	0.474341649025257	0.001283467889179
500	7.236	6.536	7	2.5	0.365207221290367	0.90326147042565	0.021629522817435	0.382359556450936	0.001315133686032
1000	7.3	7.03	7	1.3	0.186798744034642	0.963013698630137	0.020560729705022	0.189002208207338	0.001344529930569
2000	7.282	7.16	7	0.7	0.10016742116156	0.983246360889865	0.020304830129106	0.100503781525921	0.001361745647411
3000	7.27	7.175	7	0.4	0.057174001080663	0.986932599724897	0.020236116462909	0.057236380703214	0.00136652861054
