Fr	Uin	Uout	b	a	k	phi	dphi	dk	tanphi
15	6.985	6.632	7	0	0.949463135289907	0	0.014285714285714	0.001395463947953	0
100	6.964	6.614	7	0	0.949741527857553	0	0.014285714285714	0.001399871860897	0
300	7.021	6.666	7	0.4	0.949437402079476	0.057174001080663	0.014309085381934	0.001388290415952	0.057236380703214
500	6.98	6.619	7	0.5	0.948280802292264	0.071489449885521	0.01432228210715	0.001395616620553	0.071611487403943
700	6.951	6.584	7	0.75	0.94720184146166	0.107348916101869	0.01436838901091	0.001400663099886	0.107763181216065
1000	6.99	6.549	7	0.9	0.936909871244635	0.128928317217763	0.014405223178365	0.001385486317056	0.129647470036337
1500	7.075	6.654	7	1.3	0.940494699646643	0.186798744034642	0.014538519386324	0.00137137434604	0.189002208207338
2000	7.077	6.616	7	1.9	0.934859403702134	0.274877015403868	0.01484267382434	0.001367005372122	0.282015844892115
3000	7.033	6.482	7	2.7	0.921655054741931	0.395981891575289	0.015483221834486	0.001366170236558	0.418064864154038
5000	7.079	6.111	7	4	0.863257522248905	0.60824557891021	0.017405156371326	0.00131604571426	0.696310623822791
10000	7.164	4.577	7	6.2	0.638888888888889	1.08803040346916	0.030665198101603	0.001143836466282	1.90791811017966
15000	6.892	3.0376	7	6.8	0.440742890307603	1.33117775816581	0.056778688418123	0.001045228446248	4.09311900491615
13600	7.317	3.3717	7	6.9	0.46080360803608	1.40156359908052	0.069187730639493	0.000998225781082	5.85250361479181
